2026-06-03 00:10:39.988 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-03 00:10:40.181 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-03 00:10:40.206 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-03 00:10:40.322 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@32b95de
2026-06-03 00:10:40.323 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-03 00:10:41.199 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-06-03 00:10:41.267 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-03 00:10:41.481 [main] INFO  com.example.demo.config.AppConfig - 初始化密码加密器: BCryptPasswordEncoder
2026-06-03 00:10:41.608 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-06-03 00:10:41.735 [main] INFO  com.example.demo.config.WebConfig - 配置静态资源映射: /uploads/** -> file:C:\Users\zhangkj\login-demo\backend\uploads/
2026-06-03 00:10:41.863 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["https-jsse-nio-0.0.0.0-8443"]
2026-06-03 00:10:42.017 [main] INFO  org.apache.tomcat.util.net.NioEndpoint.certificate - Connector [https-jsse-nio-0.0.0.0-8443], TLS virtual host [_default_], certificate type [UNDEFINED] configured from keystore [C:\Users\zhangkj\.keystore] using alias [login-demo] with trust store [null]
2026-06-03 00:10:42.026 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-03 00:10:42.030 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on ports 8443 (https), 8080 (http) with context path ''
2026-06-03 00:10:42.034 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 3.605 seconds (process running for 4.348)
2026-06-03 00:10:42.038 [main] INFO  com.example.demo.config.DataInitializer - 开始执行数据初始化...
2026-06-03 00:10:42.134 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-03 00:10:42.134 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-03 00:10:42.136 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-06-03 00:10:42.293 [main] INFO  com.example.demo.config.DataInitializer - 用户表中已有数据，跳过默认用户创建
2026-06-03 00:10:42.293 [main] INFO  com.example.demo.config.DataInitializer - 数据初始化执行完毕
2026-06-03 00:10:42.294 [main] INFO  com.example.demo.DemoApplication - 应用启动完成
2026-06-03 00:10:52.563 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 用户登录，用户名: 张老师, 登录类型: teacher
2026-06-03 00:10:52.563 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 教师登录，账号: 张老师
2026-06-03 00:10:52.683 [http-nio-8080-exec-3] INFO  com.example.demo.controller.AuthController - 教师登录成功: 张老师
2026-06-03 00:10:54.232 [http-nio-8080-exec-8] INFO  com.example.demo.controller.UserController - 查询所有用户列表
2026-06-03 00:10:54.233 [http-nio-8080-exec-7] INFO  com.example.demo.controller.StudentController - 查询所有学生列表
2026-06-03 00:10:54.233 [http-nio-8080-exec-6] INFO  com.example.demo.controller.TeacherController - 查询所有教师列表
2026-06-03 00:10:54.235 [http-nio-8080-exec-10] INFO  com.example.demo.controller.ProductController - 查询所有商品列表
